area_code,area_name,gender,year,population_estimate
S92000003,Scotland,All,1981,5180200
S92000003,Scotland,All,1982,5164540
S92000003,Scotland,All,1983,5148120
S92000003,Scotland,All,1984,5138880
S92000003,Scotland,All,1985,5127890
S92000003,Scotland,All,1986,5111760
S92000003,Scotland,All,1987,5099020
S92000003,Scotland,All,1988,5077440
S92000003,Scotland,All,1989,5078190
S92000003,Scotland,All,1990,5081270
S92000003,Scotland,All,1991,5083330
S92000003,Scotland,All,1992,5085620
S92000003,Scotland,All,1993,5092460
S92000003,Scotland,All,1994,5102210
S92000003,Scotland,All,1995,5103690
S92000003,Scotland,All,1996,5092190
S92000003,Scotland,All,1997,5083340
S92000003,Scotland,All,1998,5077070
S92000003,Scotland,All,1999,5071950
S92000003,Scotland,All,2000,5062940
S92000003,Scotland,All,2001,5064200
S92000003,Scotland,All,2002,5066000
S92000003,Scotland,All,2003,5068500
S92000003,Scotland,All,2004,5084300
S92000003,Scotland,All,2005,5110200
S92000003,Scotland,All,2006,5133000
S92000003,Scotland,All,2007,5170000
S92000003,Scotland,All,2008,5202900
S92000003,Scotland,All,2009,5231900
S92000003,Scotland,All,2010,5262200
S92000003,Scotland,All,2011,5299900
S92000003,Scotland,All,2012,5313600
S92000003,Scotland,All,2013,5327700
S92000003,Scotland,All,2014,5347600
S92000003,Scotland,All,2015,5373000
S92000003,Scotland,All,2016,5404700
S92000003,Scotland,All,2017,5424800
S92000003,Scotland,All,2018,5438100
S92000003,Scotland,All,2019,5463300
S08000015,Ayrshire and Arran,All,1981,377854
S08000015,Ayrshire and Arran,All,1982,376850
S08000015,Ayrshire and Arran,All,1983,376300
S08000015,Ayrshire and Arran,All,1984,376250
S08000015,Ayrshire and Arran,All,1985,375590
S08000015,Ayrshire and Arran,All,1986,375420
S08000015,Ayrshire and Arran,All,1987,375470
S08000015,Ayrshire and Arran,All,1988,374900
S08000015,Ayrshire and Arran,All,1989,375120
S08000015,Ayrshire and Arran,All,1990,375220
S08000015,Ayrshire and Arran,All,1991,375200
S08000015,Ayrshire and Arran,All,1992,374610
S08000015,Ayrshire and Arran,All,1993,374480
S08000015,Ayrshire and Arran,All,1994,374350
S08000015,Ayrshire and Arran,All,1995,374210
S08000015,Ayrshire and Arran,All,1996,373150
S08000015,Ayrshire and Arran,All,1997,372750
S08000015,Ayrshire and Arran,All,1998,371790
S08000015,Ayrshire and Arran,All,1999,370560
S08000015,Ayrshire and Arran,All,2000,368770
S08000015,Ayrshire and Arran,All,2001,368290
S08000015,Ayrshire and Arran,All,2002,367500
S08000015,Ayrshire and Arran,All,2003,367710
S08000015,Ayrshire and Arran,All,2004,368550
S08000015,Ayrshire and Arran,All,2005,369000
S08000015,Ayrshire and Arran,All,2006,369330
S08000015,Ayrshire and Arran,All,2007,370750
S08000015,Ayrshire and Arran,All,2008,372120
S08000015,Ayrshire and Arran,All,2009,372430
S08000015,Ayrshire and Arran,All,2010,372810
S08000015,Ayrshire and Arran,All,2011,373760
S08000015,Ayrshire and Arran,All,2012,373220
S08000015,Ayrshire and Arran,All,2013,372240
S08000015,Ayrshire and Arran,All,2014,371140
S08000015,Ayrshire and Arran,All,2015,370590
S08000015,Ayrshire and Arran,All,2016,370560
