Column,Type,Label,Description
hb_code,text,"9 digit Geography codes for health board of residence, based on boundaries as at 1st April 2019",Health board labels
cancer_site_icd10code,text,The ICD10 codes that make up the diagnosed cancer site,
cancer_site,text,The diagnosed cancer site,
sex,text,Sex,
sex_qf,text,Qualifier for Sex,Qualifier information
year,numeric,Year of diagnosis,
incidences_all_ages,numeric,Total number of new cancer registrations,
crude_rate,numeric,"The crude rate is calculated per 100,000 person-years at risk",
crude_rate_lower95pc_confidence_interval,numeric,Lower confidence interval for the crude rate,
crude_rate_upper95pc_confidence_interval,numeric,Upper confidence interval for the crude rate,
easr,numeric,"The European age-standardised (using the 2013 European Standard Population) incidence rate per 100,000 person-years at risk",
easr_lower95pc_confidence_interval,text,Lower confidence interval for the European age-standardised rate,
easr_lower95pc_confidence_interval_qf,text,Qualifier for EASRLower95pcConfidenceInterval,Qualifier information
easr_upper95pc_confidence_interval,text,Upper confidence interval for the European age-standardised rate,
easr_upper95pc_confidence_interval_qf,text,Qualifier for EASRUpper95pcConfidenceInterval,Qualifier information
wasr,numeric,"The World age-standardised incidence rate per 100,000 person-years at risk (World standard population)",
wasr_lower95pc_confidence_interval,text,Lower confidence interval for the World age-standardised rate,
wasr_lower95pc_confidence_interval_qf,text,Qualifier for WASRLower95pcConfidenceInterval,Qualifier information
wasr_upper95pc_confidence_interval,text,Upper confidence interval for the World age-standardised rate,
wasr_upper95pc_confidence_interval_qf,text,Qualifier for WASRUpper95pcConfidenceInterval,Qualifier information
standardised_incidence_ratio,numeric,The standardised incidence ratio,
sir_lower95pc_confidence_interval,numeric,Lower confidence interval for the standardised incidence ratio,
sir_upper95pc_confidence_interval,numeric,Upper confidence interval for the standardised incidence ratio,
